NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_TEMPO_ADICIONAL,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
190002808362,2019,3164209,São Romão,31,MG,18,M,1,3,1,3164209,São Romão,31,MG,2,0,2,1,0,31082767,3164209,São Romão,31,MG,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164209,São Romão,31,MG,1,1,1,1,503,509,514,515,402.7,452.9,459.1,503.4,EDDACCBEDADCABCECCBAEAADEECEABCEBCEEEBDDEABDC,ABDDEEADECEBAEABECDDBABBCDCDBEC*EAEBEDDBDCEAA,99999EDECABBCADCECADACEEADBAEACEAECDAEAAEBCDAADEEE,ECBADADEAEAAEBEDAACEBABAACAADEBECACDAADBEEEEE,1,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1,100,100,80,80,0,360,E,E,D,D,5,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B
190002808735,2019,3154457,Riachinho,31,MG,27,F,1,3,1,3164209,São Romão,31,MG,1,7,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3104502,Arinos,31,MG,0,1,1,0,,507,511,,,407.5,404,,,ACAABAADDBBEEEBCDECEDABCADBBBCEECCEECAAAABCCC,99999ECADAEDAACAAABBDCCEBABCEDCECECEADCCAACEBECBCA,,1,,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,,1,120,80,80,100,20,400,A,B,A,A,6,B,A,B,D,B,A,B,B,B,A,B,A,A,B,B,A,D,A,B,B
190002809239,2019,3164209,São Romão,31,MG,20,M,1,3,1,3164209,São Romão,31,MG,2,0,2,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164209,São Romão,31,MG,1,1,1,1,503,509,514,515,516,550,499.5,500,AEDCBDDDBABDADDABBBABEEDADCEBDCECCACEABEDCADB,ACACCBDCDDABAAAEAABCBECACBAAECAAAACACBDBBCACD,99999ACBBBBCDBBBBBEBBCADDDAACACDDBBEEBEABCCDCCBCEC,AEBBDCCBAEDEDBDEDDCACABEABDEBDCCEBBAEADBDDABB,1,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1,120,120,120,100,120,580,B,B,A,A,6,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
190002814913,2019,3143302,Montes Claros,31,MG,18,F,1,1,1,3164209,São Romão,31,MG,1,1,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3143302,Montes Claros,31,MG,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,E,E,C,B,5,D,A,D,D,A,A,B,A,B,B,B,A,A,C,B,A,D,A,B,B
190002821904,2019,3108255,Bonito de Minas,31,MG,23,M,1,2,1,3164209,São Romão,31,MG,1,6,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3135209,Januária,31,MG,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,C,E,D,B,5,F,A,B,D,A,A,B,B,B,A,A,A,A,B,B,A,C,A,A,A
190002835444,2019,3164209,São Romão,31,MG,18,F,1,2,1,3164209,São Romão,31,MG,2,0,2,1,0,31082767,3164209,São Romão,31,MG,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164209,São Romão,31,MG,1,1,1,1,505,508,512,518,387.7,478,487.5,418.8,ACBEBEABDBACDECDBDCAEBACEBDACEBEACDABEADCBADE,ABACACEEDAEADCBBDAEABDEECACDEBBACEDACAEBDAECB,99999CBEAACEDABEEBCDBEBCACDAEBCBEABAADEDCBECDBACAA,BDCEACEABEEDBACDACBEACD*BDCADACBADBEACBACEADB,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1,120,120,120,120,60,540,C,E,A,B,6,B,A,B,D,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A
190002838145,2019,3170008,Ubaí,31,MG,21,F,1,3,1,3164209,São Romão,31,MG,1,3,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164209,São Romão,31,MG,1,1,1,1,505,508,512,518,496.7,503.7,522.2,409.2,BADBEDBCCBDEADCBDBECCBDDAAACAECDDCEBEBBEAADCE,AECCABBDAECEACBAECDDBDBEAABDABEABDCECDCBAAECB,99999CABABDBAAEECCCEEADCDBDABDEDBBDADDCEEBADCAEEED,ADCCADCCABACCAEDDABBACEABBEBEEECCBDACEDECBDDC,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1,120,120,120,120,120,600,F,B,D,A,2,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A
190002854631,2019,3170008,Ubaí,31,MG,19,M,1,2,1,3164209,São Romão,31,MG,2,0,2,1,0,31063487,3170008,Ubaí,31,MG,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164209,São Romão,31,MG,1,1,1,1,505,508,512,518,504.7,472.2,533.9,410.3,ABACCDCACAEDCEAADEADCCEDBCABEBAADAEADEDCADBCD,AAAEECBCCCEBECABDEECADBAEEEDEEBCEDEECABDEDEAC,99999BBCAACCEBDEECCCCEDBAADCACEAABAABDEEEEABCADEED,CEACBDACBCBAABDEABCACBEDAEABBDAECBDADCDDCABEA,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1,120,60,60,100,0,340,B,C,A,B,5,A,A,B,D,A,A,B,A,A,A,A,A,A,B,B,A,D,A,A,A
190002854842,2019,3164209,São Romão,31,MG,20,F,1,2,1,3164209,São Romão,31,MG,1,3,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164209,São Romão,31,MG,1,1,1,1,504,507,511,516,403.3,442.8,467.1,474.3,EADBEECCBDBBDEBDCEADABCDBBEACDCBAADECABBAEBDE,BCBAEBADCBBCEDACBDDAECECEDBEACBCECAEDBADEBADB,99999ECADBACBACBAEDEBAEECCBCDEDEADAAADEABACECDECDB,DBEEABCEAECCADBBADECECAABDEDC*DCBAEDBAACDAEDC,1,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1,100,120,120,140,100,580,E,E,A,B,3,B,A,B,C,B,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A
190002857760,2019,3164209,São Romão,31,MG,17,M,1,2,1,3164209,São Romão,31,MG,2,0,2,1,0,31082767,3164209,São Romão,31,MG,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164209,São Romão,31,MG,1,1,1,1,505,508,512,518,389.1,463.1,433.8,424.4,ADCCBDCDAABBEBDEBBDDBCAECCCBDBDABDCAAB*DDCBAB,ABECABDBDBDCBDDACCBDDDEBCACBDABEDDECBDDCEECDA,99999DBABDDEDBACAC*CBCAABCCAEECBCBDCADCEBDBCCEDAAD,EDBABCBBDDECAEDEABCDBABBAEDDDDCBCEABEBABACDAD,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1,120,120,80,100,80,500,B,B,C,B,4,A,A,B,D,A,B,B,A,A,A,A,A,A,A,A,A,C,A,A,A
